Interaction_Date,KOL _Name,Current_Tier,Kol_Qualification,Therapeutic_Area,Speciality_within_TA,KOL_years_of_Experience,Adoption_Ladder,KOL_Location,KOL_Territory,SocialMedia_Twitter,SocialMedia_Linkedin,SocialMedia_YouTube,Overall_Kol_Rating,Connection_to_Advisory_Boards,Research_Participated,Research_Experience,Fundinghistory_researchgrants,Fundinghistory_ConsultingFees,Fundinghistory_researchgrants,No_Of_Publications,Trainings_Delivered,Professional_Certification,KOL_affiliations_academicinstitutions,KOL_Affiliations_Hospital_and_medical_Centres,KOL_Affiliations_ProfessionalAssocaitionsandsocities,KOL_Affiliations_Pharma_and_biotech_companies,KOL_Affiliations_Government_and_Regulatory_bodies,KOL_Affiliations_patientadvocacy_and_nonprofit_organisations,Internationa_Presentations_Presented,National_ntations_Presented,KOL_FollowUp,Previous_meeting_agenda,Previous_Meeting_SubTopics,Current_Discussion_Topic,Current_Meeting_Subtopics,Current_Channel_of_interaction,Company_Event,Interaction_intent,Items/topics_to_exchange,KOLMSL_Relation,Next_Action_Items,Proposed_Next_Channel_Of_interaction
1-Feb-20,Micheal Smith,National,MD,Oncology,Skin Cancer,20,2,New Jersey,East Coast,11.8K,6.5K,7.5K,4.17,6,19,9,200000,370000,80000,11,15,7,2,2,1,2,0,0,0,10,No,Networking oppurtunities and programs,"Collaboration,networking",About what kind of research presentations will be conducted and what kind of researchers will be there,"Research presentations,researchers",In Person,Medical Asset Generation-Patient driven solutions,To get overview of what kind of research presentations will be conducted and researcher's background,"Research presentations,researchers",Good,Startup pitch competition,In Person
1-Mar-20,Micheal Smith,National,MD,Oncology,Skin Cancer,20,2,New Jersey,East Coast,12K,7K,8K,4.25,6,20,10,200000,370000,80000,12,15,7,2,2,1,2,0,0,0,10,No,About what kind of research presentations will be conducted and what kind of researchers will be there,"Research presentations,researchers",Various workshops and training sessions,"Workshops,training programs and study sessions",Email,Medical Asset Generation-Patient driven solutions,To discuss about various workshops and training session that will be conducted and how it will help the people attending that event,"Workshops,training programs and study sessions",Good,Marketing startegy,Phone
1-Apr-20,Micheal Smith,National,MD,Oncology,Skin Cancer,21,3,New Jersey,East Coast,12.2K,7.3K,8.4K,4.26,6,20,10,200000,370000,80000,12,17,7,2,2,1,2,0,0,0,10,No,Various workshops and training sessions,"Workshops,training programs and study sessions",Startup pitch competitions,"Startup pitches,asset show ups,judges reviews",In Person,Medical Asset Generation-Patient driven solutions,,"Startup pitches,asset show ups,reviews",Good,Topic about key note speeches,Email
1-May-20,Micheal Smith,National,MD,Oncology,Skin Cancer,21,3,New Jersey,East Coast,12.3K,7.4K,8.5K,4.3,6,21,10,200000,370000,80000,13,17,8,2,2,1,2,0,0,0,11,No,Startup pitch competitions,"Startup pitches,asset show ups,judges reviews",Collaborative appoarches to asset generation in key note speeches,"collaborative models and partnerships between healthcare organizations,technology providers",Phone,Medical Asset Generation-Patient driven solutions,"Explore collaborative models- and partnerships between healthcare organizations,technology providers,manufacturers and regulatory bodies to optimize asset generation processes,improve efficiency and foster innovation","collaborative models and partnerships between healthcare organizations,technology providers",Good,Data Driven Decision making in asset generation,Phone
1-Jun-20,Micheal Smith,National,MD,Oncology,Skin Cancer,21,3,New Jersey,East Coast,12.5K,7.8K,8.7K,4.4,6,21,10,200000,370000,90000,13,18,8,2,2,1,2,0,0,0,11,No,Collaborative appoarches to asset generation in key note speeches,"collaborative models and partnerships between healthcare organizations,technology providers",Risk management and mitigation in asset generation in key note speeches,"Issues related to patient safety,regulatory compliance,financial implications and operational challenges",Email,Medical Asset Generation-Patient driven solutions,"To discuss about strategies for identifying and mitigating risks associated with medical asset generation,including issues related to patient safety,regulatory compliance,financial implications and operational challenges","collaborative models and partnerships between healthcare organizations,technology providers",Good,Marketing startegy,Email
1-Jul-20,Micheal Smith,National,MD,Oncology,Skin Cancer,21,3,New Jersey,East Coast,13K,8K,9K,4.43,6,22,10,200000,370000,80000,14,18,8,2,2,1,2,1,1,0,11,No,Risk management and mitigation in asset generation in key note speeches,"Issues related to patient safety,regulatory compliance,financial implications and operational challenges",Data Driven Decision making in asset generation in key note speeches,"Role of data analytics,predictive modeling and machine learning in making informed decisions",Phone,Medical Asset Generation-Patient driven solutions,"To discuss the role of data analytics,predictive modeling and machine learning in making informed decisions regarding medical asset acquisition,utilization,maintainence and replacement","Role of data analytics,predictive modeling and machine learning in making informed decisions",Good,How these events can revolutionize healthcare,In Person
1-Aug-20,Micheal Smith,National,MD,Oncology,Skin Cancer,21,4,New Jersey,East Coast,13.2K,8.3K,9.4K,4.5,6,22,10,200000,380000,82000,15,18,8,2,2,1,2,1,1,0,12,No,Data Driven Decision making in asset generation in key note speeches,"Role of data analytics,predictive modeling and machine learning in making informed decisions",Innovative financing models in key note speeches,"Leasing,public-private partnerships and value based reimbursement models",Email,Medical Asset Generation-Patient driven solutions,"Explore alternative financing models and strategies for medical asset generation such as leasing,public-private partnership and value based reimbursment models","Leasing,public-private partnerships and value based reimbursement models.Discuss benefits and challenges of each approach and share examples of successful implementations",Good,How connections can help people,Phone
1-Sep-20,Micheal Smith,National,MD,Oncology,Skin Cancer,21,4,New Jersey,East Coast,13.3K,8.4K,9.5K,4.51,6,23,11,200000,380000,83000,15,19,8,2,2,1,2,1,1,0,12,No,Innovative financing models in key note speeches,"Leasing,public-private partnerships and value based reimbursement models",Ethical Considerations in asset generation in key note speeches,"Equitable access to healthcare resources,fair distribution of assets and responsible disposal of equipment",In Person,Medical Asset Generation-Patient driven solutions,"To address the issues social responsibility,sustainability and ethical implications of resource allocation","Equitable access to healthcare resources,fair distribution of assets and responsible disposal of equipment",Good,How these events can revolutionize healthcare,Phone
1-Oct-20,Micheal Smith,National,MD,Oncology,Skin Cancer,21,4,New Jersey,East Coast,13.5K,8.5K,9.6K,4.52,6,23,11,210000,380000,82000,16,19,8,2,2,1,2,1,1,0,12,No,Ethical Considerations in asset generation in key note speeches,"Equitable access to healthcare resources,fair distribution of assets and responsible disposal of equipment",Future trends in medical asset generation in key note speeches,"Digital health innovations,IoT,integration and personalize medicine",Email,Medical Asset Generation-Patient driven solutions,"To discuss the potential impact of these trends on healthcare delivery,asset management and patient care","Digital health innovations,IoT,integration and personalize medicine",Good,Startup pitch competition,In Person
1-Nov-20,Micheal Smith,National,MD,Oncology,Skin Cancer,21,4,New Jersey,East Coast,13.6K,8.6K,9.67K,4.53,6,23,11,210000,380000,82000,16,20,8,2,2,1,2,1,1,0,13,No,Future trends in medical asset generation in key note speeches,"Digital health innovations,IoT,integration and personalize medicine",Comparitive Analysis of medical asset acquisition models in research presentations,"Purchasing,leasing or share resource agreements and present research findings",In Person,Medical Asset Generation-Patient driven solutions,"To discuss about comparing different models for medical asset acquisition,such as purchasing,leasing or share resource agreements on their cost effectiveness,efficiency","Purchasing,leasing or share resource agreements and present research findings",Good,Topic about key note speeches,Phone
1-Dec-20,Micheal Smith,National,MD,Oncology,Skin Cancer,21,5,New Jersey,East Coast,13.7K,8.7K,9.77K,4.6,6,23,11,220000,390000,83000,17,20,8,2,2,1,2,1,1,0,13,No,Comparitive Analysis of medical asset acquisition models in research presentations,"Purchasing,leasing or share resource agreements and present research findings",Optimization of medical asset utilization through data analytics in research presentations,"Utilization of medical assets,including equipment scheduling,maintainence planning and resource allocation,with aim of imporiving operational efficiency",Phone,Medical Asset Generation-Patient driven solutions,To discuss about research study that utilizes data analytics techniques to optimize utilization of medical assets,"Utilization of medical assets,including equipment scheduling,maintainence planning and resource allocation,with aim of imporiving operational efficiency",Good,Data Driven Decision making in asset generation,Email
1-Jan-21,Micheal Smith,National,MD,Oncology,Skin Cancer,21,5,New Jersey,East Coast,13.8K,8.8K,9.9K,4.65,6,23,11,225000,395000,84000,17,21,8,2,2,1,2,1,1,0,13,No,Optimization of medical asset utilization through data analytics in research presentations,"Utilization of medical assets,including equipment scheduling,maintainence planning and resource allocation,with aim of imporiving operational efficiency",Impact of collaborative partnerships on medical asset generation,"Impact of collaborative partnerships between healthcare organizations,manufacturers",In Person,Medical Asset Generation-Patient driven solutions,"To discuss about benefits,challenges and outcome of partnerships","Impact of collaborative partnerships between healthcare organizations,manufacturers",Good,How connections can help people,Phone
1-Feb-21,Micheal Smith,National,MD,Oncology,Skin Cancer,21,5,New Jersey,East Coast,14K,9K,10.2K,4.67,6,23,11,226000,395000,84500,18,21,8,2,2,1,2,1,1,0,14,No,Impact of collaborative partnerships on medical asset generation,"Impact of collaborative partnerships between healthcare organizations,manufacturers",Sustainable practice in medical asset generation in research presentations,"Sustainable practices in medical asset generation,including environment friendly procurement,energy-efficient equipment",Email,Medical Asset Generation-Patient driven solutions,To discuss the enviromental impact and cost-effectiveness of adopting sustainable practices in healthcare settings,"Sustainable practices in medical asset generation,including environment friendly procurement,energy-efficient equipment",Good,To discuss about how these events can provide a platform for discussion on regulatory frameworks and IP rights,Phone
1-Mar-21,Micheal Smith,National,MD,Oncology,Skin Cancer,21,5,New Jersey,East Coast,14.3K,9.3K,10.5K,4.69,6,24,12,227000,396000,85000,18,22,8,2,2,1,2,1,1,0,14,No,Sustainable practice in medical asset generation in research presentations,"Sustainable practices in medical asset generation,including environment friendly procurement,energy-efficient equipment",Implementation of technology in medical asset management in research presentations,"IOT,RFID,asset management .Impact of technology on asset tracking,maintainence and optimization",In Person,Medical Asset Generation-Patient driven solutions,"To discuss the impact of technology on asset tracking,maintenence and optimization","IOT,RFID,asset management .Impact of technology on asset tracking,maintainence and optimization",Good,New medical assets ensuring they meet the demands of heathcare providers and patients,Email
1-Apr-21,Micheal Smith,National,MD,Oncology,Skin Cancer,22,4,New Jersey,East Coast,14.5K,9.5K,10.7K,4.57,6,24,12,228000,397000,86000,19,22,8,2,2,1,2,1,1,0,15,No,Implementation of technology in medical asset management in research presentations,"IOT,RFID,asset management .Impact of technology on asset tracking,maintainence and optimization",Evaluation of training programs for medical asset management,"Asset utilization,maintainence practices and overall operational efficiency",Phone,Medical Asset Generation-Patient driven solutions,"To discuss about effectiveness of training programs in improving asset utilization,maintainence practices and overall operational efficiency","Asset utilization,maintainence practices and overall operational efficiency",Good,Discussion about how these events can address pressing healthcare challenges,In Person
1-May-21,Micheal Smith,National,MD,Oncology,Skin Cancer,22,4,New Jersey,East Coast,14.5K,9.5K,10.7K,4.57,6,24,12,229000,398000,87000,19,23,8,2,2,1,2,1,1,0,15,No,Evaluation of training programs for medical asset management,"Asset utilization,maintainence practices and overall operational efficiency",Financial Analysis of medical asset generation in research presentations,"Total cost of ownership,return on investment and cost-benefit analysis of various asset acquisition and management strategies",Email,Medical Asset Generation-Patient driven solutions,To discuss about insights into optimizing financial outcomes in medical asset generation,"Asset utilization,maintainence practices and overall operational efficiency",Good,Marketing startegy,In Person
1-Jun-21,Micheal Smith,National,MD,Oncology,Skin Cancer,22,4,New Jersey,East Coast,14.6K,9.6K,10.8K,4.58,6,26,13,229000,398000,88000,20,23,8,2,2,1,2,1,1,0,16,No,Financial Analysis of medical asset generation in research presentations,"Total cost of ownership,return on investment and cost-benefit analysis of various asset acquisition and management strategies",Role of regulatory compliance in medical asset generation in research presentations,"Standards for equipment safety,quality control and legal requirements",Phone,Medical Asset Generation-Patient driven solutions,"To discuss about research findings on the impact of compliance on asset acquisition,utilization and patient safety outcomes","Standards for equipment safety,quality control and legal requirements",Good,Discussion about how these events can address pressing healthcare challenges,Phone
1-Jul-21,Micheal Smith,National,MD,Oncology,Skin Cancer,22,4,New Jersey,East Coast,14.6K,9.6K,10.8K,4.58,6,26,13,230000,399000,89000,20,23,8,2,2,1,2,1,1,0,16,No,Role of regulatory compliance in medical asset generation in research presentations,"Standards for equipment safety,quality control and legal requirements",Future trends and innovations in medical asset generations in research presentations,"Robotics,ai,advanced imaging techniques and virtual reality",In Person,Medical Asset Generation-Patient driven solutions,"To discuss about potential impact of innovation on healthcare deliveryv,asset management and patient care","Robotics,ai,advanced imaging techniques and virtual reality",Good,How these events can revolutionize healthcare,Email
1-Aug-21,Micheal Smith,National,MD,Oncology,Skin Cancer,22,4,New Jersey,East Coast,14.6K,9.6K,10.8K,4.56,6,26,14,235000,399500,90000,21,23,8,2,2,1,2,1,1,0,16,No,Future trends and innovations in medical asset generations in research presentations,"Robotics,ai,advanced imaging techniques and virtual reality",Problem identification in startup pitch competition,"High cost,limited access,equipment maintainence or supply chain bottlenecks",Phone,Medical Asset Generation-Patient driven solutions,To discuss about emphasizing the need for innovative solutions to address these problems,"High cost,limited access,equipment maintainence or supply chain bottlenecks",Good,Topic about key note speeches,Phone
1-Sep-21,Micheal Smith,National,MD,Oncology,Skin Cancer,22,3,New Jersey,East Coast,14.6K,9.6K,10.8K,4.4,6,27,14,236000,400000,91000,21,24,8,2,2,1,2,1,1,0,16,No,Problem identification in startup pitch competition,"High cost,limited access,equipment maintainence or supply chain bottlenecks",Innovative medical asset solutions in medical asset generation event,"Technologies,software programs or business models",Email,Medical Asset Generation-Patient driven solutions,To discuss about startups giving pitches that offer innovative solutions to improve medical asset generation,"Technologies,software programs or business models",Good,New medical assets ensuring they meet the demands of heathcare providers and patients,In Person
1-Oct-21,Micheal Smith,National,MD,Oncology,Skin Cancer,22,3,New Jersey,East Coast,14.6K,9.6K,10.8K,4.3,6,27,15,236000,400000,91000,22,24,8,2,2,1,2,1,1,0,16,No,Innovative medical asset solutions in medical asset generation event,"Technologies,software programs or business models",Market potential and target audience in startup pitch competitions,"Target audience such as hospitals,clincics,research facilities and healthcare organizations",Phone,Medical Asset Generation-Patient driven solutions,"To discuss about the market research and insights of the demand,competition and growth prospects for the proposed solutions","Technologies,software programs or business models",Good,New medical assets ensuring they meet the demands of heathcare providers and patients,Phone
1-Nov-21,Micheal Smith,National,MD,Oncology,Skin Cancer,22,3,New Jersey,East Coast,14.6K,9.6K,10.9K,4.31,6,28,16,237000,410000,92000,22,24,8,2,2,1,2,1,1,0,16,No,Market potential and target audience in startup pitch competitions,"Target audience such as hospitals,clincics,research facilities and healthcare organizations",Unique value proposition in medical asset generation,"Solution stand out,competitive advantage",Email,Medical Asset Generation-Patient driven solutions,To discuss how a particular solution offers and addresses specifica pain points in asset generation,"Solution stand out,competitive advantage",Neutral,Future trends in asset generation,Email
1-Dec-21,Micheal Smith,National,MD,Oncology,Skin Cancer,22,3,New Jersey,East Coast,14.6K,9.8K,10.8K,4.32,6,28,16,238000,420000,93000,23,24,8,2,2,1,2,1,1,0,16,No,Unique value proposition in medical asset generation,"Solution stand out,competitive advantage",Business model and revenue generation,"Pricing strategies,potential partnerships and revenue streams",Phone,Medical Asset Generation-Patient driven solutions,To discuss about the business models of the startups and their plans for revenue generation,"Pricing strategies,potential partnerships and revenue streams",Neutral,How connections can help people,Phone
1-Jan-22,Micheal Smith,National,MD,Oncology,Skin Cancer,22,3,New Jersey,East Coast,14.7K,9.8K,10.8K,4.33,6,28,16,239000,430000,94000,23,25,8,2,2,1,2,1,1,0,16,No,Business model and revenue generation,"Pricing strategies,potential partnerships and revenue streams",Scalability and growth potential,"Expansion plans,target markets beyond the initial launch",Email,Medical Asset Generation-Patient driven solutions,"To discuss the expansion plans,target markets beyond the initial launc,and the ability to adapt the solution to different healthcare or geographic locations","Expansion plans,target markets beyond the initial launch",Neutral,How these events can revolutionize healthcare,In Person
1-Feb-22,Micheal Smith,National,MD,Oncology,Skin Cancer,22,4,New Jersey,East Coast,14.7K,9.8K,10.8K,4.35,6,28,16,240000,430000,94000,23,25,8,2,2,1,2,1,1,0,16,No,Scalability and growth potential,"Expansion plans,target markets beyond the initial launch",Technical Feasibility and Intellectual Property in start up pitch competitions,"Patents,trademarks or proprietary technologies",InPerson,Medical Asset Generation-Patient driven solutions,"To discuss about any patents,trademarks or proprietary technologies that provide a competitive advantage and barriers to entry to potential competitors","Patents,trademarks or proprietary technologies",Neutral,Financial Analysis of medical asset generation in research presentations,Phone
1-Mar-22,Micheal Smith,National,MD,Oncology,Skin Cancer,22,4,New Jersey,East Coast,14.7K,9.9K,10.8K,4.37,6,28,16,240000,435000,94000,24,25,8,2,2,1,2,1,1,0,16,No,Technical Feasibility and Intellectual Property in start up pitch competitions,"Patents,trademarks or proprietary technologies",Team Expertise and execution plan in start up pitch competitions,"Execution plans,market penetration,product development",Email,Medical Asset Generation-Patient driven solutions,"To discuss about team's execution plans,milestones and strategies for market penetration,customer acquisition and product development","Execution plans,market penetration,product development",Neutral,"Regulatory frameworks,intellectual property rights and responsible innovation",Email
1-Apr-22,Micheal Smith,National,MD,Oncology,Skin Cancer,23,5,New Jersey,East Coast,14.7K,10K,10.8K,4.5,6,28,17,240000,436000,95000,24,25,8,2,2,1,2,1,1,0,16,No,Team Expertise and execution plan in start up pitch competitions,"Execution plans,market penetration,product development",Regulatory and compliance considerations in startup pitch competitions,"Adherance to regulatory standards,certifications,potential legal",Phone,Medical Asset Generation-Patient driven solutions,"To discuss how the startup ensure adherance to regulatory standards,certifications and any potential legal or ethical implications","Adherance to regulatory standards,certifications,potential legal imlications",Neutral,Networking oppurtunities and programs,In Person
1-May-22,Micheal Smith,National,MD,Oncology,Skin Cancer,23,5,New Jersey,East Coast,14.7K,9.8K,11K,4.56,6,29,17,240000,437000,96000,24,25,9,2,2,1,2,1,1,0,17,No,Regulatory and compliance considerations in startup pitch competitions,"Adherance to regulatory standards,certifications,potential legal",Impact and sustainability in startup pitch competitons,"Patient safety,operational efficiency and cost savings",In Person,Medical Asset Generation-Patient driven solutions,"To emphasize on the sustainability aspect of the solutions,such as reducing waste,energy efficiency or environmental considerations","Patient safety,operational efficiency and cost savings",Neutral,Technical Feasibility and Intellectual Property in start up pitch competitions,Phone
1-Jun-22,Micheal Smith,National,MD,Oncology,Skin Cancer,23,5,New Jersey,East Coast,15K,10K,11K,4.6,6,30,17,242000,438000,97000,25,26,9,2,2,,2,1,1,0,17,No,Impact and sustainability in startup pitch competitons,"Patient safety,operational efficiency and cost savings",Digital Health Innovations in stratup pitch competitions,"Mobile apps,wearables or remote devices to improve heakthcare delivery",Phone,Medical Asset Generation-Patient driven solutions,"To discuss about startups that leverage digital health technologies such as mobile apps,wearable or remote devices to improve haleathcare delivery","Mobile apps,wearables or remote devices to improve heakthcare delivery,patient engagement",Neutral,Technical Feasibility and Intellectual Property in start up pitch competitions,Email
1-Jul-22,Micheal Smith,National,MD,Oncology,Skin Cancer,23,5,New Jersey,East Coast,15K,10K,11K,4.65,6,30,17,242000,438000,97000,25,26,9,2,2,0,2,1,1,0,17,No,Digital Health Innovations in stratup pitch competitions,"Mobile apps,wearables or remote devices to improve heakthcare delivery",Health Tech Infrastructure,"Robust health tech infrastructure,secure data storage or telecommnunication networks",Email,Medical Asset Generation-Patient driven solutions,"To discuss about startups that focus on robust health tech infrastructure including data storage,interoperability solutions to enable seamless healthcare data exchange and communication","Robust health tech infrastructure,secure data storage or telecommnunication networks",Neutral,Team Expertise and execution plan in start up pitch competitions,Phone
1-Apr-19,Johnson charles,International,"MD,PHD",Oncology,Skin Cancer,11,2,Boston,East Coast,30K,15K,10K,4.66,2,10,5,15000,0,7000,2,5,3,2,2,0,2,1,1,1,6,No,Business model and revenue generation,"Pricing strategies,potential partnerships and revenue streams",Scalability and growth potential,"Expansion plans,target markets beyond the initial launch",Email,Medical Asset Generation-Patient driven solutions,"To discuss the expansion plans,target markets beyond the initial launc,and the ability to adapt the solution to different healthcare or geographic locations","Expansion plans,target markets beyond the initial launch",Neutral,How these events can revolutionize healthcare,In Person
1-May-19,Johnson charles,International,"MD,PHD",Oncology,Skin Cancer,11,2,Boston,East Coast,30.1K,15.1K,10.2K,4.64,2,10,5,16000,0,18000,2,5,3,2,2,0,2,1,1,1,6,No,Scalability and growth potential,"Expansion plans,target markets beyond the initial launch",Technical Feasibility and Intellectual Property in start up pitch competitions,"Patents,trademarks or proprietary technologies",InPerson,Medical Asset Generation-Patient driven solutions,"To discuss about any patents,trademarks or proprietary technologies that provide a competitive advantage and barriers to entry to potential competitors","Patents,trademarks or proprietary technologies",Neutral,Financial Analysis of medical asset generation in research presentations,Phone
1-Jun-19,Johnson charles,International,"MD,PHD",Oncology,Skin Cancer,11,2,Boston,East Coast,30.1K,15.1K,10.2K,4.7,2,10,5,18000,0,19000,2,5,3,2,2,0,2,1,1,1,6,No,Technical Feasibility and Intellectual Property in start up pitch competitions,"Patents,trademarks or proprietary technologies",Team Expertise and execution plan in start up pitch competitions,"Execution plans,market penetration,product development",Email,Medical Asset Generation-Patient driven solutions,"To discuss about team's execution plans,milestones and strategies for market penetration,customer acquisition and product development","Execution plans,market penetration,product development",Neutral,"Regulatory frameworks,intellectual property rights and responsible innovation",Email
