Date,KOL_ID,KOL_NAME,Activity,Type
4/5/2023,21,Aaron Park,"Creating personalised treatment plans based on the individual's condition which may include chemotherapy,targeted therapy etc",Medical
1/3/2023,22,John Doe,"Shared inspiring stories of lung cancer survivors,showcasing their joruneys",Social Media
2/4/2023,22,John Doe,Promoting ongoing clinical trials and research studies related to lung cancer on social media,Social Media
4/5/2023,22,John Doe,"Conducted comprehensive evaluations,including review medical history,pysical exams and ordering diagnostic test",Medical
2/4/2023,23,Jane Lee,"Identified and studied the biomarkers that can prdict lung cancer risk,prognosis,treatment and potential side effects",Research
2/5/2023,23,Jane Lee,"Addressed treatment related side effect and managed symptoms such as pain,fatigue of one patient",Medical
31/6/2023,23,Jane Lee,"Shared updates about lung cancer conferences,workshops and educational opportunities to foster continous learning on twitter",Social Media
1/1/2023,24,David Kim,Offered guidance and resources for smoking cessation to help prevent lung cancer and Improve overall lung health,Social Media
4/2/2023,24,David Kim,Studying about advanced radiation therapy techniques such as sbrt or proton therapy to improve tumor targeting,Research
5/4/2023,24,David Kim,"Performed surgical interventions such as tumor resection,lobecotomy or minimally invasive procedure to remove cancerous tissues",Medical
3/5/2023,25,Dr. Enrique Vasquez,"Performed autologous stem cell transplantation,a procedure that invloves collecting and reinfusing the patient's own stem cell",Medical
4/6/2023,25,Dr. Enrique Vasquez,Recommended and enrolled eligible patients in clinical trials,Medical
5/7/2023,25,Dr. Enrique Vasquez,"Assesed treatment progress through follow up appointments,blood test and imaging studies",Medical
15/3/2023,26,Dr. Katherine Baker,Connected with other healthcare professionals researchers and organizations in field of myleoma on linkedin,Social Media
17/4/2023,26,Dr. Katherine Baker,Corrected misinformation or myths about myleoma and its treatment that might be on social media,Social Media
19/5/2023,26,Dr. Katherine Baker,"Studying the use of stem cell transplantation as a tratment option for multiple myleoma patients,refining protocols and exploring ways to improve transplant outcomes",Research
1/1/2023,27,Dr. Simanth Chintala,"Shared updates on latest research findings,clinical trials and treatment advancements in field of multiple myleoma",Social Media
4/3/2023,27,Dr. Simanth Chintala,"Helped patient to manage side effects related to treatment such as fatigue,nausea,pain and infection",Medical
15/5/2023,27,Dr. Simanth Chintala,Collaborating with pharma companies and researchers to develop new drugs specifically targeting multiple myleoma cells,Research
